 ,Area,Mean,Min,Max,X,Y
1,117686,255,255,255,361.467,282.068
2,2,255,255,255,419.000,46.500
3,3,255,255,255,486.500,105.833
4,3216,255,255,255,267.526,205.906
5,1,255,255,255,327.500,189.500
6,1,255,255,255,309.500,191.500
7,318,255,255,255,209.362,207.355
8,4,255,255,255,315.000,195.000
9,1,255,255,255,326.500,199.500
10,2,255,255,255,324.000,201.500
11,19,255,255,255,339.658,215.342
12,5,255,255,255,315.700,219.100
13,2,255,255,255,342.500,228.000
14,5,255,255,255,335.300,229.700
15,6,255,255,255,340.167,230.500
16,3,255,255,255,343.833,230.833
17,4,255,255,255,324.000,242.000
18,1,255,255,255,220.500,245.500
19,1,255,255,255,323.500,246.500
20,1,255,255,255,305.500,249.500
21,5,255,255,255,304.900,252.500
22,1,255,255,255,314.500,251.500
23,1,255,255,255,301.500,256.500
24,2,255,255,255,292.500,267.000
25,4,255,255,255,281.250,271.500
26,1,255,255,255,274.500,273.500
27,2,255,255,255,278.000,280.500
28,4,255,255,255,274.000,286.000
29,2,255,255,255,281.000,293.500
30,4,255,255,255,467.750,319.500
31,1,255,255,255,467.500,323.500
32,2,255,255,255,459.000,326.500
33,2,255,255,255,471.500,327.000
34,1,255,255,255,474.500,326.500
35,10,255,255,255,463.200,328.600
36,6,255,255,255,467.500,330.000
37,1,255,255,255,473.500,331.500
38,1,255,255,255,475.500,339.500
39,1,255,255,255,476.500,341.500
40,5,255,255,255,478.500,345.500
41,2,255,255,255,474.500,348.000
42,2,255,255,255,479.500,355.000
43,1,255,255,255,480.500,361.500
44,1,255,255,255,478.500,364.500
45,1,255,255,255,481.500,366.500
46,1,255,255,255,481.500,369.500
47,1,255,255,255,120.500,468.500
