 ,X,Y
1,341.592,72.354
2,343.500,28.000
3,211.167,81.500
4,205.500,81.500
5,333.841,315.906
6,275.833,121.833
7,265.500,123.000
8,295.500,134.500
9,290.500,134.500
10,307.500,145.000
11,182.603,162.372
12,303.875,148.750
13,299.500,150.000
14,312.000,150.500
15,295.500,152.000
16,307.833,151.833
17,300.500,153.000
18,305.500,153.500
19,298.500,154.500
20,295.700,161.180
21,289.800,158.200
22,296.500,157.000
23,232.167,170.167
24,300.833,173.167
25,225.500,176.500
26,183.382,185.618
27,449.227,191.591
28,227.000,183.500
29,311.500,183.500
30,186.935,203.630
31,250.500,201.500
32,303.500,207.500
33,275.500,208.500
34,221.167,215.167
35,365.353,225.029
36,387.396,226.500
37,295.500,225.500
38,186.027,243.489
39,237.000,240.000
40,196.000,248.167
41,257.000,250.500
42,275.000,255.500
43,302.500,263.500
44,183.500,267.500
45,183.500,278.000
46,314.500,277.500
47,185.000,283.500
48,219.500,282.000
49,213.500,285.500
50,206.500,286.500
51,194.667,296.652
52,341.056,291.500
53,205.561,296.712
54,286.500,290.500
55,345.250,290.750
56,280.500,292.500
57,334.700,292.900
58,209.500,294.000
59,212.500,295.500
60,219.500,302.500
61,200.100,309.986
62,219.500,306.000
63,208.250,309.250
64,228.117,312.833
65,217.714,310.500
66,279.500,313.500
67,207.432,322.622
68,238.500,315.000
69,221.000,318.333
70,233.500,318.500
71,214.500,319.500
72,228.281,326.000
73,267.500,320.500
74,217.500,321.500
75,232.929,324.071
76,219.500,323.500
77,242.500,323.500
78,244.500,324.500
79,338.500,324.500
80,240.167,328.833
81,245.500,327.500
82,328.000,328.000
83,361.250,329.250
84,216.500,329.500
85,245.500,330.500
86,218.500,331.500
87,217.500,335.000
88,246.500,335.500
89,227.500,336.500
90,265.500,336.500
91,233.500,340.500
92,248.000,348.000
93,401.500,353.500
94,399.500,355.500
95,393.500,390.500
96,351.000,391.500
97,392.500,392.500
98,274.500,393.500
99,380.500,410.500
100,236.500,418.500
101,484.500,420.500
102,205.300,422.900
103,237.500,423.500
104,372.500,426.500
105,234.500,427.500
106,487.500,429.500
107,490.000,429.500
108,241.500,430.500
109,250.500,430.500
110,487.500,432.643
111,495.643,432.643
112,247.000,432.500
113,243.167,434.500
114,252.500,433.500
115,369.786,433.929
116,523.500,434.500
117,497.278,437.130
118,521.500,435.500
119,487.167,436.667
120,491.500,437.000
121,364.750,439.500
122,405.000,439.500
123,485.500,439.500
124,491.167,440.167
125,504.500,441.000
126,498.000,441.833
127,398.357,444.929
128,484.000,443.500
129,505.000,443.500
130,509.167,444.500
131,497.000,444.500
132,513.000,444.500
133,485.000,446.000
134,494.147,447.971
135,502.000,445.500
136,539.500,445.500
137,528.500,447.500
138,363.500,448.500
139,489.500,448.500
140,523.500,448.500
141,501.000,449.500
142,517.441,451.206
143,527.500,450.167
144,361.500,451.833
145,489.167,452.167
146,492.500,451.500
147,499.500,451.500
148,507.500,451.500
149,327.000,452.500
150,502.900,453.500
151,510.731,454.038
152,539.767,455.700
153,327.000,454.500
154,368.500,454.500
155,382.500,454.500
156,545.000,454.500
157,548.000,454.500
158,473.000,455.500
159,484.500,455.500
160,490.500,455.833
161,499.500,455.500
162,555.071,456.357
163,362.500,456.500
164,496.500,456.500
165,330.500,458.500
166,337.500,458.500
167,353.000,458.500
168,485.500,458.500
169,487.500,458.500
170,543.500,458.500
171,349.500,459.500
172,504.833,460.167
173,541.250,460.250
174,346.667,461.667
175,537.500,461.500
176,333.500,463.000
177,340.786,463.071
178,471.500,462.500
179,344.500,463.500
180,469.250,464.250
181,486.500,463.500
182,493.500,464.000
183,495.500,463.500
184,498.500,464.000
185,543.500,463.500
186,336.125,465.375
187,478.300,465.500
188,474.500,465.500
189,346.833,466.833
190,540.500,466.500
191,543.500,466.500
192,470.000,467.500
193,541.000,470.000
194,548.700,469.900
195,343.500,470.500
196,467.500,470.500
197,572.500,470.500
198,567.000,472.000
199,539.500,474.808
200,465.167,477.833
201,538.500,477.500
202,540.500,477.500
203,544.000,477.750
204,551.500,478.500
205,579.000,478.500
206,588.500,478.500
207,541.000,479.500
